Manuscript N°	Page N°	Type	Description	General description	IIIF 
MAF Ms. 050	004r	marginal ornament	marginal ornament	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0005/full/full/0/default.jpg
	006v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0008/full/full/0/default.jpg
	009v	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0011/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0011/full/full/0/default.jpg
	010r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0011/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0011/full/full/0/default.jpg
	011v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0013/full/full/0/default.jpg
	013v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0015/full/full/0/default.jpg
	015v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0017/full/full/0/default.jpg
	017v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0019/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0019/full/full/0/default.jpg
	019v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0021/full/full/0/default.jpg
	021v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0023/full/full/0/default.jpg
	023v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0025/full/full/0/default.jpg
	025v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0027/full/full/0/default.jpg
	028r	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0029/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0029/full/full/0/default.jpg
